
2024/09/28 (10:01:11) | ===> btop++ v.1.4.0
2024/09/28 (10:01:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/28 (10:05:19) | ===> btop++ v.1.4.0
2024/09/28 (10:05:19) | WARNING: Intel GPU: Failed to initialize PMU
2024/09/28 (10:06:42) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/10/18 (01:04:15) | ===> btop++ v.1.4.0
2024/10/18 (01:04:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (16:45:54) | ===> btop++ v.1.4.0
2024/10/20 (16:45:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (16:45:57) | ===> btop++ v.1.4.0
2024/10/24 (16:45:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (13:31:06) | ===> btop++ v.1.4.0
2024/10/25 (13:31:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (15:00:08) | ===> btop++ v.1.4.0
2024/10/30 (15:00:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (00:23:23) | ===> btop++ v.1.4.0
2024/11/05 (00:23:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (00:02:08) | ===> btop++ v.1.4.0
2024/11/28 (00:02:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (17:42:59) | ===> btop++ v.1.4.0
2024/12/01 (17:42:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (17:48:25) | ===> btop++ v.1.4.0
2024/12/01 (17:48:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (17:49:16) | ===> btop++ v.1.4.0
2024/12/01 (17:49:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (17:50:14) | ===> btop++ v.1.4.0
2024/12/01 (17:50:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (17:50:56) | ===> btop++ v.1.4.0
2024/12/01 (17:50:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (22:57:21) | ===> btop++ v.1.4.0
2024/12/14 (22:57:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (22:57:57) | ===> btop++ v.1.4.0
2024/12/14 (22:57:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (16:09:04) | ===> btop++ v.1.4.0
2024/12/18 (16:09:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (16:11:18) | ===> btop++ v.1.4.0
2024/12/18 (16:11:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (20:12:16) | ===> btop++ v.1.4.0
2024/12/20 (20:12:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (00:50:05) | ===> btop++ v.1.4.0
2024/12/26 (00:50:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (14:05:55) | ===> btop++ v.1.4.0
2025/01/07 (14:05:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (22:17:56) | ===> btop++ v.1.4.0
2025/01/31 (22:17:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/31 (22:22:45) | ===> btop++ v.1.4.0
2025/01/31 (22:22:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (20:27:54) | ===> btop++ v.1.4.0
2025/02/01 (20:27:54) | WARNING: Intel GPU: Failed to initialize PMU

